study_hours,sleep_hours,attendance,internet_usage,stress_level,final_score,result
4.745071229516849,8.399355436586003,73.24821725025619,1.092192442122609,0.7371509584490632,63.647692258988485,1
3.792603548243223,7.924633682912769,78.55481329284483,2.1396149892204983,2.044162828148147,50.85785329362912,1
4.971532807151039,7.059630369920174,72.07580079000039,2.586394466578356,2.958386502124273,51.27029050795518,1
6.284544784612038,6.353063222294426,76.9203847036096,4.887687657340191,4.11956712354898,66.25660273691773,1
3.648769937914996,7.69822331361359,61.063853330462145,3.556553124533758,0.9349183231055838,49.48805789211865,1
3.648794564576229,7.39348538542175,82.13293707372938,1.6645184309001086,3.1990818884255807,45.029465533845745,1
6.368819223261087,7.895193220027732,80.01205475362224,3.486036289417637,-0.5995848516305071,87.16131903837623,1
5.151152093729364,7.635171801681969,71.82911368931809,1.4526960110616345,1.7349436459542202,69.12384983547905,1
3.295788421097572,8.049552715319335,86.59245668432405,4.082691053887073,1.4621734422291206,44.174725614185355,1
4.8138400653789475,6.464764788439432,89.37570137626558,2.5288753481821216,4.168562037631807,60.848588108352054,1
3.3048734607813066,8.317394065634325,63.924401356310256,2.906363811260829,1.7052367870425442,50.994462856304565,1
3.301405369644615,7.1975996046924,72.37275221433785,4.32579664754219,1.3968373414513138,46.94835045028982,1
4.362943407349051,9.075260872625265,72.30857650212701,1.71283643141575,-0.060253998442279744,62.06076043267241,1
1.1300796330133034,6.310812181910432,70.60096898891135,1.6028818148870088,3.887867827636975,20.311171156953545,0
1.4126232512304506,8.73596380316525,88.29474841931749,2.416400673653995,1.184968854970194,33.79496333310967,0
3.156568706138541,7.197910783462648,78.06173861227197,4.038378851019317,2.2229651069016056,39.90270293951364,0
2.480753319498364,6.348581996385551,77.35485158689389,1.4806539245231576,3.1705842141024694,28.18776486520548,0
4.471370998892911,6.5161141659456785,59.961376355932465,0.16784440188943117,4.180053831213611,64.21721598217641,1
2.6379638867181834,6.67965269180568,86.35418030209226,2.548841141591001,2.8026547353251052,42.3595261999743,1
